BPM,SpO2,Temperature_C,Humidity_%,GSR,Angle_X,Angle_Y,Heat_Therapy_Duration,Sleep_Quality
65,91,36.25,47.75,343,7.71,2.33,1.32,82.31
110,93,37.56,30.76,168,4.26,6.94,18.62,54.92
83,96,37.73,80.38,396,1.06,-2.38,11.78,82.3
63,96,36.04,33.86,160,5.09,-4.82,1.7,79.8
79,92,38.24,84.45,14,-9.23,0.37,17.38,69.25
96,94,37.75,50.93,190,-9.46,2.45,16.57,61.51
63,90,38.3,72.0,14,-8.33,-1.6,14.46,76.86
94,99,36.45,58.29,286,-1.25,7.53,8.7,68.18
79,99,38.32,37.96,362,-5.29,0.47,14.27,80.83
59,99,36.61,66.98,411,9.69,-9.28,1.22,75.96
65,90,35.66,87.05,9,0.85,-5.54,1.72,80.02
113,94,37.79,73.87,56,3.25,-0.99,21.48,59.54
92,99,37.61,62.28,198,-4.42,3.95,14.97,67.91
59,98,37.29,89.34,160,-3.56,-5.6,7.17,82.7
102,90,36.97,38.57,262,-3.29,9.53,13.13,58.86
72,90,35.6,24.36,388,3.97,-3.63,0.0,82.64
91,93,37.37,22.25,473,-0.53,0.65,10.84,82.55
114,93,36.75,69.75,380,0.35,-9.62,13.25,58.63
102,91,37.18,78.12,252,1.84,7.7,14.28,62.59
82,98,36.79,64.46,118,5.38,5.78,9.66,67.98
94,98,38.4,83.35,79,-8.19,-6.09,20.5,57.44
99,91,37.31,68.86,123,5.54,8.66,15.63,55.92
116,98,37.75,45.97,312,1.26,-3.68,19.32,62.3
112,95,38.31,32.69,71,3.38,3.84,23.74,56.75
110,97,37.27,84.73,469,-3.45,6.38,14.18,62.59
94,99,35.54,27.25,481,-1.81,4.82,2.17,74.66
94,93,35.6,58.01,167,-5.38,8.35,5.64,59.87
87,91,37.61,41.98,283,9.59,7.29,13.11,61.91
60,91,36.34,39.0,493,-0.06,9.89,0.0,87.92
73,98,37.24,65.21,35,9.92,-6.35,10.94,64.68
94,90,36.11,36.19,311,-0.2,-3.9,6.72,74.29
113,96,36.31,84.15,174,-5.6,2.72,12.91,56.98
113,92,37.01,48.42,198,0.15,4.66,16.19,61.69
102,92,38.43,67.42,115,-9.21,0.69,21.88,59.42
95,91,37.35,70.94,423,8.1,-8.52,12.01,61.02
67,99,38.31,67.81,314,6.37,6.83,12.3,76.94
99,95,38.38,83.24,426,4.52,9.22,17.93,62.54
107,99,36.12,36.18,219,2.2,-1.89,10.33,65.98
96,91,36.43,26.02,378,1.6,-5.5,8.09,71.04
117,99,37.81,23.88,65,9.93,-9.61,22.3,39.34
81,93,38.1,81.45,264,-4.44,-5.25,14.56,73.15
92,99,37.06,88.13,133,5.59,4.0,12.86,65.15
114,98,38.48,41.18,118,1.63,8.23,24.52,53.53
61,98,35.53,68.55,121,9.52,-8.13,0.0,70.74
59,95,36.4,20.62,320,6.56,1.07,1.09,87.75
99,93,37.37,33.2,386,9.97,3.91,13.29,61.56
112,96,36.91,68.25,457,1.77,-4.47,12.87,65.65
85,90,35.85,24.61,420,-5.91,1.4,2.55,77.13
77,93,36.6,52.8,382,0.07,4.3,5.1,83.89
96,94,35.58,66.38,491,4.22,6.75,2.67,68.65
64,97,37.43,73.62,86,5.49,-0.95,9.58,82.0
86,91,38.18,51.77,288,-9.99,4.96,15.71,64.82
107,94,38.15,64.12,136,0.1,-3.96,21.31,64.34
84,95,37.6,57.77,52,-5.3,-5.74,14.77,65.8
93,94,36.9,23.66,204,7.5,-6.25,11.55,61.08
85,98,37.04,72.0,347,-6.94,-2.82,9.21,72.72
56,99,35.91,32.07,50,3.33,-9.28,0.75,77.87
66,90,36.52,22.23,326,-4.68,-4.34,3.06,82.7
93,92,36.06,51.58,409,-2.87,3.04,5.33,74.58
67,91,37.96,80.59,399,8.81,2.96,9.73,80.36
100,92,38.24,30.56,39,-5.19,-8.53,21.33,54.32
81,99,37.11,20.9,249,-8.1,-4.25,9.76,69.66
71,98,37.68,27.7,217,-8.61,1.39,10.95,76.83
114,98,35.86,45.46,178,0.09,-3.63,10.84,62.09
118,99,37.33,60.61,38,2.83,-1.64,20.35,56.39
89,91,37.61,33.51,182,-3.45,4.26,14.52,69.89
84,92,36.86,76.14,223,3.81,-9.81,9.36,66.12
117,93,36.23,72.73,163,-8.78,-4.47,13.42,48.86
82,98,38.13,68.71,233,7.15,-7.15,15.23,66.5
114,92,37.73,54.12,376,6.33,-7.45,18.18,53.99
91,96,38.2,45.57,192,9.71,9.18,17.78,55.67
76,92,37.96,46.29,496,8.73,-2.47,10.52,78.48
74,96,38.47,55.21,84,-2.88,0.54,16.82,80.58
118,96,36.08,25.41,460,-2.01,4.68,9.88,62.17
71,98,35.76,67.76,242,4.92,-9.05,1.08,72.58
66,91,36.51,44.61,473,-7.32,-5.18,1.53,81.46
76,95,35.89,35.73,172,-3.72,6.64,3.42,73.0
71,98,37.07,39.48,392,-7.63,7.24,6.13,74.5
64,91,37.4,32.62,36,-0.9,-2.54,9.94,84.59
119,91,37.23,83.11,86,1.04,-2.5,19.61,57.97
76,94,36.28,31.83,128,-5.78,5.14,5.81,71.46
104,99,38.23,81.8,193,-9.47,-4.1,20.5,55.58
68,99,35.56,60.06,318,4.39,-7.66,0.0,77.91
118,99,36.54,80.72,42,-9.6,-4.85,16.4,44.5
101,97,37.66,53.18,411,9.47,-2.25,14.87,63.65
83,98,37.8,84.93,355,-5.57,-8.96,12.55,68.17
90,91,36.75,34.8,158,3.28,-0.43,10.66,73.71
106,94,35.55,58.83,104,-1.3,4.8,8.41,61.75
61,96,37.35,28.81,452,-8.81,0.27,4.95,87.64
83,95,35.69,51.31,228,-0.56,-8.56,3.27,72.12
65,95,35.82,59.89,216,0.34,-1.2,0.46,89.98
87,96,37.45,62.4,263,7.09,4.18,12.52,68.23
60,92,36.44,45.59,417,4.65,-8.84,0.52,82.16
86,92,36.54,25.34,486,-8.41,-8.8,5.56,66.06
105,99,36.96,65.87,48,-5.82,-2.59,15.82,58.37
112,98,38.44,54.19,351,-3.76,-6.1,21.57,59.18
80,97,38.4,29.58,441,-7.67,8.7,14.07,69.18
100,94,36.75,85.51,122,-0.86,1.63,13.02,69.45
83,95,36.3,86.9,458,9.69,-4.25,4.0,70.93
58,99,36.41,79.96,302,0.29,4.1,1.12,91.77
67,90,36.31,79.07,24,4.84,-2.5,5.19,78.17
93,99,37.1,26.91,130,3.66,-7.36,13.28,62.88
69,90,37.32,89.54,428,7.0,-5.26,6.62,79.36
83,93,36.97,48.03,369,-5.69,2.85,8.24,75.63
83,91,36.72,31.42,435,5.08,-8.96,6.37,70.35
86,96,36.13,76.85,223,7.63,-4.55,6.14,66.85
56,91,36.95,35.8,499,-6.57,-5.83,1.45,87.1
101,99,36.52,56.83,98,-3.06,-5.98,12.34,60.61
76,91,37.12,28.96,351,9.4,3.66,7.81,73.35
81,94,37.53,53.23,289,5.62,6.52,11.44,70.72
110,93,37.4,59.07,484,-4.35,4.32,14.66,64.28
75,97,36.89,51.21,499,1.28,2.91,4.95,87.45
101,93,37.17,24.86,196,-1.91,8.33,14.58,61.13
113,95,36.35,53.95,108,-0.2,-8.83,13.79,54.82
60,94,35.57,52.83,347,-2.9,-6.65,0.0,85.48
73,91,37.38,38.31,219,-4.41,-1.71,9.79,80.53
111,97,36.26,84.51,263,3.5,-2.55,11.36,62.5
57,91,37.51,49.25,410,5.57,-1.64,5.33,91.05
55,98,37.74,80.49,207,7.48,-5.87,8.14,80.62
112,98,38.25,27.68,318,-6.89,-7.01,20.96,53.68
92,92,38.37,42.32,81,6.46,0.18,19.96,67.65
69,93,35.53,32.34,24,-4.9,8.56,1.72,69.82
88,97,38.47,48.59,185,-1.45,-2.16,18.61,75.36
115,98,37.55,27.81,431,8.03,-9.13,16.94,50.53
89,92,37.43,50.87,384,-0.91,4.12,11.61,77.14
118,94,35.55,44.77,7,-6.06,-4.18,11.76,48.86
79,97,38.08,35.63,123,-6.8,-5.1,15.49,68.68
78,92,35.94,64.95,148,-0.54,-3.51,4.3,79.09
66,96,38.01,86.56,97,5.25,4.48,12.79,77.26
72,97,35.55,34.5,215,9.94,6.38,0.48,68.72
69,99,37.44,69.83,100,5.75,1.76,10.49,78.49
81,92,36.8,71.97,217,7.54,-3.55,8.55,70.53
114,91,36.1,54.87,366,4.96,-3.79,10.15,59.82
100,99,35.82,82.84,461,7.91,-7.51,5.0,60.71
71,96,36.82,87.65,412,-8.47,8.67,4.68,72.17
107,98,35.87,45.36,413,8.6,2.76,7.12,61.13
62,90,36.96,65.57,258,-2.07,-9.46,5.12,80.32
81,92,37.38,66.35,390,8.43,3.25,9.68,73.28
100,94,37.98,48.25,355,-8.49,-1.06,16.86,65.65
104,92,37.54,42.18,10,4.3,9.45,18.88,51.69
57,90,35.7,85.36,415,4.71,6.38,0.0,86.49
118,96,36.42,75.3,58,9.94,-6.57,15.63,42.35
98,96,36.36,28.01,249,5.38,4.4,9.43,64.24
107,99,38.25,28.39,139,-2.35,-0.29,21.74,66.12
78,97,38.1,84.58,334,1.14,-6.26,13.28,78.8
114,94,36.61,25.7,37,-2.67,3.97,15.98,55.77
57,99,35.71,68.19,121,-6.08,0.95,0.0,85.49
74,94,38.18,35.87,407,-5.03,-9.39,12.14,73.83
100,94,38.16,22.46,64,-5.56,2.93,20.68,61.09
69,90,38.06,24.17,145,0.98,2.7,13.17,83.99
79,99,38.04,46.15,301,8.12,-7.12,13.47,68.23
71,94,36.94,25.43,124,8.25,-3.02,8.16,73.45
63,95,36.03,61.76,311,-8.9,1.72,0.15,81.97
92,90,36.93,65.31,190,-8.4,-7.22,11.66,59.05
102,96,36.98,46.14,262,-5.1,7.05,13.2,59.66
114,90,36.97,72.0,489,-4.9,-9.45,13.26,55.56
117,91,37.12,54.3,360,-8.1,-7.94,15.88,49.45
56,91,36.27,50.12,449,-2.23,-7.68,0.0,89.09
65,94,36.6,48.49,295,1.75,0.56,3.54,90.62
118,99,36.8,50.18,181,1.56,2.4,16.3,59.86
75,96,35.89,87.75,158,0.87,-1.93,3.39,82.31
72,90,36.87,67.7,352,-3.23,-4.23,5.71,82.1
118,99,37.93,42.06,307,4.13,6.19,20.69,54.76
92,90,37.98,71.37,477,6.53,-8.63,14.05,65.34
86,90,36.73,43.12,286,-3.07,-4.39,8.51,73.76
65,95,37.06,28.8,161,-8.29,-9.22,7.17,69.71
99,91,35.6,53.28,262,-4.07,-9.72,5.68,59.19
87,90,37.52,72.57,216,-7.25,-2.93,13.36,68.6
95,95,36.71,46.44,399,-0.65,-6.1,9.08,72.37
62,91,36.84,80.84,405,-6.88,-4.63,3.03,83.28
65,95,38.12,47.09,483,-0.74,6.42,9.28,88.57
105,99,36.89,44.49,180,-5.58,-6.74,14.13,56.32
95,97,35.56,89.88,90,4.77,5.6,6.42,61.84
71,91,36.18,53.77,16,-9.45,3.5,5.45,69.28
100,98,36.93,76.37,124,1.09,-3.47,13.89,67.0
86,97,36.77,76.35,259,-6.61,0.93,8.98,73.13
108,99,38.08,84.85,444,-9.98,-1.11,18.07,61.57
74,90,37.13,25.94,377,7.38,-7.43,7.16,72.76
87,96,37.57,38.99,354,3.43,8.14,12.2,69.69
94,99,36.91,73.74,488,-8.02,1.39,8.96,71.46
86,95,36.82,59.38,213,3.28,7.6,9.66,68.2
56,95,36.84,59.17,238,2.23,6.48,3.51,86.31
87,95,36.73,31.64,179,-0.53,-8.4,9.77,69.36
84,95,37.12,39.68,418,-1.61,-5.85,8.7,77.4
87,99,36.25,56.49,171,7.74,-7.09,7.45,62.12
80,96,38.17,39.4,142,-5.1,6.62,15.95,68.78
76,92,36.5,34.72,316,-2.03,7.25,5.04,77.18
92,95,35.94,26.14,243,-3.42,0.56,6.18,74.09
100,92,35.79,30.9,231,5.42,-7.92,7.14,58.61
69,96,35.54,73.82,171,8.33,-7.29,0.29,70.18
98,96,36.77,70.31,276,7.0,6.27,11.18,60.6
103,97,36.06,23.21,76,5.95,8.58,10.65,52.57
115,91,35.56,34.23,302,9.74,-6.01,8.3,49.64
60,98,37.06,59.23,330,3.94,-9.78,4.5,80.14
63,94,37.54,42.58,48,5.02,-3.38,10.32,79.38
60,98,35.76,77.63,436,9.66,-9.39,0.0,75.86
86,99,36.88,74.95,247,-9.86,6.56,9.64,62.24
95,94,37.73,82.41,282,2.68,-0.17,15.33,74.72
62,96,38.46,59.41,286,4.78,2.84,12.33,85.58
104,98,37.5,44.65,427,8.36,-1.77,14.54,64.39
116,93,36.23,62.42,31,7.68,-3.09,14.56,49.7
116,91,37.65,26.24,499,6.84,-5.56,16.96,57.11
61,98,37.29,20.67,157,8.92,5.41,7.6,75.45
58,91,36.14,21.2,17,0.75,3.91,2.61,85.75
60,92,38.05,48.53,380,-9.86,-2.79,8.97,82.42
112,99,36.78,35.97,62,-9.78,-3.58,16.19,49.21
76,91,38.39,31.01,127,0.89,-9.98,16.36,71.5
80,92,37.67,63.07,15,-1.29,-8.73,14.69,68.27
57,95,37.43,89.66,162,-0.98,2.47,7.45,90.61
95,92,37.69,32.44,445,-1.99,0.29,13.48,78.66
114,99,36.93,58.25,250,8.35,-1.3,15.47,56.41
68,97,37.02,28.38,136,-2.82,6.55,7.82,77.48
66,95,38.05,85.4,317,7.12,0.08,10.8,84.7
66,96,37.54,40.42,294,8.06,-2.31,8.47,80.44
67,90,38.19,81.48,178,-0.01,-6.77,13.08,81.92
79,92,38.17,39.82,228,-1.06,6.41,14.88,76.09
99,92,38.43,76.42,370,5.22,1.52,18.75,69.81
73,91,37.6,34.66,393,4.16,-8.15,9.17,76.59
109,96,37.01,40.5,179,-3.43,2.98,15.54,61.39
99,98,36.0,33.47,395,-7.95,-1.5,6.34,67.06
62,93,37.62,38.5,71,-4.7,6.23,10.27,77.3
107,94,36.37,78.44,317,-7.38,8.38,10.6,53.93
109,92,36.35,64.73,386,-4.11,2.01,10.18,65.88
86,98,36.21,48.41,82,-4.76,4.63,7.95,67.37
105,93,38.13,88.01,378,2.75,-8.87,18.35,61.11
98,94,38.1,52.54,394,9.09,1.21,16.68,66.53
72,90,37.39,87.88,135,3.71,5.11,10.51,76.11
76,91,36.92,33.76,217,8.53,-0.06,8.12,76.02
91,98,37.52,83.32,108,5.68,1.87,15.2,67.6
110,91,37.32,20.97,377,4.56,7.98,15.34,57.5
113,94,36.75,58.17,406,-1.72,-6.04,12.78,62.31
57,97,36.64,49.61,118,-3.5,-8.04,3.91,80.01
82,92,36.65,56.76,393,6.93,3.81,6.21,73.97
89,95,37.27,58.74,17,8.11,6.46,14.47,58.36
115,93,37.44,47.23,331,-0.96,7.01,17.41,59.55
108,96,36.86,89.87,422,-9.82,2.83,12.16,59.26
117,99,38.41,88.36,153,5.85,6.66,24.4,49.54
61,92,35.75,87.32,10,-4.3,4.01,1.36,79.73
103,95,36.54,88.54,137,-9.8,-8.25,12.44,49.57
85,99,36.76,75.51,386,6.1,5.24,7.43,71.61
112,98,35.55,89.2,61,0.35,-6.41,10.04,57.11
115,99,36.59,82.47,70,3.7,-5.27,15.77,53.13
78,90,36.32,49.12,60,8.29,-2.11,7.11,69.72
74,92,37.02,74.93,131,0.82,-3.71,9.08,80.18
91,91,36.51,83.84,60,0.06,-3.57,10.65,71.34
58,97,37.68,69.88,487,-4.19,-6.61,5.62,87.78
74,96,37.03,49.59,391,-3.9,-4.12,6.54,81.2
114,91,35.89,24.61,357,5.93,-9.61,9.18,51.49
78,95,37.75,76.68,268,-1.02,-0.54,12.17,84.49
104,92,35.8,86.69,11,-6.73,5.37,10.18,53.7
103,97,38.02,45.37,34,-8.11,7.24,20.85,50.75
105,99,38.29,30.63,485,-0.54,6.41,18.12,68.86
90,92,36.47,42.86,437,-0.7,-1.67,6.47,80.89
88,99,38.28,60.78,50,3.07,4.61,18.99,67.79
90,98,37.88,42.19,42,-0.58,-4.24,17.48,70.05
60,90,38.27,62.74,227,-7.13,-8.89,11.57,75.32
93,94,37.5,87.68,110,0.16,3.52,15.49,71.29
96,92,36.21,66.95,321,8.14,2.98,7.52,65.09
112,95,38.18,45.39,14,-6.81,6.03,23.68,48.87
66,99,36.05,85.5,176,3.8,2.32,2.2,83.18
57,91,36.14,59.59,161,1.88,-6.86,0.99,84.23
72,98,36.31,28.99,38,4.97,7.06,6.09,70.32
94,95,36.41,54.93,25,-6.99,2.55,11.11,62.06
75,96,37.04,65.75,111,8.83,6.15,9.61,66.74
69,94,37.64,78.68,452,2.42,5.48,7.98,85.06
80,98,38.28,85.55,431,6.94,-4.04,13.58,75.44
62,90,35.77,42.22,472,-5.07,-8.51,0.0,82.15
96,94,38.36,30.89,50,4.79,-6.47,21.02,59.49
98,99,38.26,25.17,481,5.62,-8.14,16.61,64.1
68,95,35.66,71.68,366,-2.05,-5.13,0.0,84.7
56,96,36.58,75.66,387,-2.32,-0.81,0.73,95.98
91,93,37.94,48.66,97,3.16,8.14,17.43,62.89
92,90,37.33,47.71,410,-8.13,7.44,11.47,63.51
95,97,37.84,86.8,374,4.71,4.37,14.95,69.08
116,99,37.66,84.17,169,-9.14,-9.52,20.3,42.99
114,93,36.99,36.33,55,-6.19,-3.17,17.7,52.87
68,92,35.62,74.66,220,3.28,3.65,0.02,82.08
56,96,37.25,63.59,324,-8.03,-7.42,4.72,79.94
71,91,35.65,30.8,145,9.44,6.02,1.48,68.85
82,97,37.31,44.97,444,7.37,8.29,9.02,69.09
89,95,37.9,32.42,259,2.53,-2.92,15.22,74.15
59,96,37.25,40.66,128,6.38,4.12,7.29,80.46
119,94,38.49,63.07,49,7.75,-7.04,26.27,43.73
94,98,36.87,46.27,339,-4.81,3.82,10.25,69.43
110,94,37.75,47.58,325,6.99,-9.57,17.98,51.63
90,94,37.5,57.78,403,-6.1,-6.98,11.98,67.35
99,92,38.47,26.11,19,-1.73,4.2,22.48,63.76
77,90,37.64,71.72,173,1.17,4.24,12.37,78.48
101,91,35.99,48.12,282,4.28,2.82,7.84,66.62
85,97,38.37,53.63,25,-9.4,-0.45,19.08,66.18
65,90,37.5,88.2,159,-4.19,3.5,9.43,81.45
64,96,35.68,44.11,9,2.17,5.48,1.6,79.0
68,94,37.47,65.38,81,-2.85,9.33,10.65,73.0
64,92,38.15,47.48,255,5.5,7.77,11.5,77.17
55,96,37.23,82.6,104,3.03,5.89,6.62,83.87
59,98,36.56,79.27,139,-5.31,3.9,3.72,82.23
74,91,37.96,36.91,201,-7.08,1.48,13.1,76.74
62,97,37.85,68.42,343,2.58,-7.59,8.71,83.66
97,98,37.13,24.56,23,-0.99,-6.69,15.33,62.74
55,92,35.96,87.42,372,-6.62,6.41,0.0,84.31
111,91,36.25,44.43,434,-3.47,6.07,9.62,61.73
118,96,37.72,78.23,421,-3.94,2.29,18.47,61.95
82,94,37.92,42.29,45,-7.84,-1.22,16.04,69.03
91,94,36.34,64.29,216,0.94,-9.48,8.23,66.32
101,99,36.6,88.85,391,5.27,-3.46,9.81,66.84
91,94,35.73,81.37,54,1.51,-1.59,6.82,71.86
103,93,37.64,31.23,77,6.53,-0.28,18.53,61.87
98,94,35.51,58.32,490,-7.45,8.59,2.75,61.56
110,93,35.64,44.4,158,-1.29,-7.83,9.12,57.22
82,95,35.51,50.4,343,2.19,0.38,1.04,82.78
60,93,37.44,43.46,271,3.52,-2.64,6.97,88.03
115,91,36.75,43.52,147,3.92,9.8,15.79,48.98
74,98,36.39,57.98,37,4.58,7.24,6.89,69.56
56,91,38.24,33.44,110,3.03,-1.22,11.79,89.1
91,98,36.08,57.62,14,-8.12,9.99,8.95,53.05
74,99,36.67,39.53,77,3.91,0.28,7.87,79.52
80,95,38.32,40.23,75,4.5,-6.66,17.35,68.12
83,98,36.78,71.71,417,9.87,1.12,6.84,73.66
55,98,37.16,22.07,327,3.87,-5.48,4.05,87.83
89,92,35.74,46.67,274,3.74,2.73,4.27,73.22
113,90,37.87,48.53,493,0.3,8.75,17.52,62.51
87,90,36.77,53.96,196,7.36,5.72,9.78,64.72
105,92,37.9,66.83,375,9.94,-4.54,17.26,57.63
66,94,36.26,45.88,218,5.58,-4.06,2.83,79.79
74,92,36.77,34.92,62,2.25,-8.61,8.52,71.2
107,98,37.86,81.94,360,-8.42,-4.28,17.6,58.46
97,98,38.42,88.67,460,4.53,-8.15,17.41,65.48
104,92,35.68,21.4,31,4.17,-0.01,9.38,63.6
83,92,37.94,58.25,478,5.51,4.17,12.01,76.45
111,94,36.4,43.92,232,-7.51,5.02,12.39,54.1
93,91,37.15,39.39,109,3.07,-8.81,13.77,61.42
110,95,36.37,43.5,164,-4.09,-3.2,12.71,59.54
97,96,37.34,64.72,193,5.21,-4.24,14.67,64.03
104,98,36.56,33.35,6,-5.19,-7.91,14.05,52.39
77,95,36.5,83.9,431,3.68,-2.75,4.09,82.4
98,92,35.61,52.63,138,-4.1,-4.01,6.79,64.02
92,94,35.94,42.79,458,-9.82,2.69,4.02,68.15
77,93,38.25,73.59,342,2.67,7.67,13.74,75.94
99,94,38.49,21.14,286,-7.73,-0.9,19.91,65.85
106,97,37.84,50.23,427,3.19,4.93,16.64,65.8
104,97,36.36,44.87,300,8.51,-7.08,10.1,55.29
62,95,36.71,43.67,455,9.38,7.9,1.89,77.36
55,90,37.72,43.59,55,-5.28,-6.95,9.54,78.92
62,97,38.41,22.19,159,6.19,-6.16,13.34,77.37
83,97,36.87,30.65,495,-2.93,-7.87,6.48,75.44
59,91,37.99,29.93,148,8.01,-3.81,10.76,79.28
101,93,38.43,89.2,286,5.75,1.05,19.97,67.06
88,91,38.12,21.55,256,-8.52,9.76,16.14,59.18
119,93,36.18,31.7,460,-1.86,5.87,10.61,60.43
109,99,35.52,88.19,138,-3.25,-2.39,8.54,61.49
97,96,36.98,63.98,348,5.7,1.52,11.3,69.8
84,98,37.09,51.55,323,-1.79,2.47,9.54,79.35
71,97,36.1,25.51,291,3.69,6.45,2.31,78.14
80,98,36.35,66.88,334,2.05,4.73,4.93,78.55
62,97,37.8,29.65,186,9.51,1.39,10.02,79.64
101,91,36.91,66.98,322,8.76,3.38,12.04,61.37
100,96,36.45,88.54,183,-1.45,4.92,10.93,66.02
87,91,37.37,57.24,306,4.47,-7.34,11.68,68.45
55,91,37.46,34.99,412,6.59,-5.99,4.67,85.64
73,93,37.81,63.77,468,7.98,3.77,9.46,78.76
85,90,35.97,55.91,385,-8.64,7.01,3.5,66.43
68,94,37.72,57.32,261,-3.96,-1.81,10.11,84.29
107,95,37.3,53.47,414,-3.6,9.6,14.25,58.95
102,98,35.67,67.16,309,-1.31,-5.68,6.17,66.79
116,99,37.83,60.04,343,-6.61,-1.67,19.43,58.92
118,97,36.65,89.09,423,-0.08,-2.43,13.12,66.45
117,91,36.49,77.81,144,3.26,8.61,14.92,50.14
87,90,36.84,38.53,260,-0.05,-4.29,9.52,76.49
95,91,36.54,70.8,1,3.32,-0.58,12.18,67.84
102,96,36.51,35.0,313,-8.67,-6.26,10.34,57.35
67,93,37.92,74.76,11,7.52,0.43,13.41,77.19
85,99,35.87,30.33,260,8.78,7.15,4.27,63.58
58,94,38.41,53.15,361,2.36,-3.92,10.55,90.69
73,96,37.16,75.34,443,7.63,6.22,6.49,75.75
67,92,36.05,39.61,168,-7.37,8.23,2.46,71.14
77,99,35.89,78.6,147,5.95,-8.54,3.9,67.05
55,91,37.27,65.09,199,-7.62,5.13,5.88,81.19
108,96,37.4,47.83,384,-1.84,-4.89,15.25,65.6
69,94,35.66,49.64,311,-3.52,-6.49,0.0,79.7
119,90,36.23,84.82,69,1.71,2.02,14.76,57.4
69,90,37.89,35.25,311,-3.97,4.11,10.62,82.02
75,98,35.65,68.54,53,2.75,-2.1,3.21,77.74
73,94,38.07,69.51,394,-2.65,-9.22,11.49,77.14
114,90,37.47,84.57,258,7.22,8.17,18.09,49.69
87,96,36.8,69.92,350,2.68,4.61,8.42,74.75
103,98,36.54,60.91,27,-5.69,-4.57,13.53,56.73
89,90,35.56,83.18,366,-3.28,-0.06,2.43,78.81
98,99,37.98,78.04,362,6.95,-9.44,16.36,58.57
65,93,35.93,70.17,119,-2.27,-3.21,1.95,83.3
100,92,36.43,22.28,132,0.72,0.45,11.32,71.24
63,94,37.21,46.15,379,2.98,0.34,5.35,92.09
57,96,36.24,64.23,89,-3.04,-5.84,2.2,82.62
80,97,36.99,56.56,15,-4.12,5.53,11.31,68.71
102,91,37.93,42.35,286,-0.49,-4.02,17.68,69.3
82,96,36.91,30.11,283,-5.7,1.61,8.63,75.89
80,90,38.35,58.71,390,-4.32,-4.57,14.33,77.14
79,96,38.04,40.01,229,-8.76,-1.5,14.22,72.77
66,97,36.5,36.31,136,-3.92,-5.85,4.84,78.0
59,91,36.7,47.93,294,-3.59,2.66,2.86,88.88
102,98,36.77,74.98,226,9.24,-1.49,12.49,60.65
91,90,37.38,54.15,426,1.79,-9.68,11.33,69.25
98,95,36.36,35.15,26,5.75,-9.44,11.64,53.3
69,90,38.41,28.18,331,-9.09,-0.58,13.03,80.52
97,92,37.33,54.93,116,-7.87,-6.34,15.37,56.77
102,95,36.7,75.61,88,6.29,1.7,13.51,61.17
100,92,37.44,65.7,106,2.47,-1.84,16.62,66.95
97,97,36.69,36.25,220,-6.18,3.09,11.13,64.78
75,94,37.95,50.57,222,-1.9,9.05,13.05,73.8
77,91,37.2,79.87,121,0.77,0.57,10.71,82.3
101,93,35.63,32.44,381,6.87,5.75,5.02,61.98
69,98,36.03,57.25,353,-8.79,5.06,0.92,75.94
79,93,38.09,44.94,32,1.93,8.44,16.45,68.7
90,99,37.19,28.69,90,4.34,-5.72,13.54,64.73
105,99,38.35,23.49,183,9.56,6.55,21.43,51.83
69,97,35.72,58.91,375,6.14,8.11,0.0,75.9
75,94,36.39,21.45,257,-4.48,-2.14,4.86,79.7
67,99,36.08,27.24,397,4.19,-3.72,0.33,84.94
73,90,37.16,44.33,12,5.27,9.04,10.79,66.57
88,96,36.65,23.05,23,4.59,2.55,11.11,67.88
106,92,35.97,48.03,324,6.4,-2.39,8.32,62.93
81,99,37.43,29.13,33,8.07,5.84,13.51,63.47
83,97,37.11,44.49,246,-8.03,-3.91,10.18,69.09
82,92,36.32,75.38,342,-7.9,-6.47,5.1,68.59
89,90,36.94,63.85,18,5.93,0.88,12.82,67.69
62,94,37.74,51.18,29,-4.95,1.32,11.3,82.05
70,91,36.12,26.43,48,-8.83,6.51,4.6,67.55
90,93,36.38,63.34,426,-1.98,-0.86,6.13,80.12
84,90,36.54,31.46,399,6.4,6.29,6.0,70.75
72,98,37.74,25.36,179,-7.47,-3.77,11.81,74.09
56,95,38.04,66.48,369,3.44,1.51,8.21,93.45
103,97,36.63,83.84,371,-9.93,-5.83,10.54,57.01
58,93,36.39,52.24,487,-7.81,-2.29,0.0,88.62
61,98,38.17,22.87,225,-2.98,7.15,11.29,81.84
93,91,38.5,81.62,432,-8.33,-5.68,17.27,65.33
67,98,37.51,24.69,394,6.92,6.2,7.52,78.63
85,94,38.47,80.73,77,7.28,-4.34,19.08,65.09
117,95,37.48,47.43,495,5.11,-9.31,16.35,54.09
110,92,37.7,45.58,430,-5.15,-7.8,16.7,58.06
96,93,36.67,58.0,206,0.46,4.92,10.97,69.66
115,95,36.8,87.0,34,-6.32,-4.76,17.15,49.89
96,96,35.93,82.91,249,-4.37,3.08,6.87,68.03
110,90,37.97,52.92,70,0.32,3.98,21.64,61.24
90,96,38.29,68.71,412,4.7,-3.1,15.85,73.88
61,90,37.37,60.63,363,-8.11,-0.5,5.92,86.43
108,94,36.53,68.54,309,-4.07,-1.92,11.66,64.99
55,95,35.96,78.05,469,8.53,8.95,0.0,80.9
98,91,36.3,22.41,278,-1.42,-3.6,8.8,70.54
99,99,36.27,42.8,151,8.78,-6.33,10.12,55.39
101,98,37.34,87.15,226,9.83,-2.69,15.14,59.0
